trr_id,weapon_type,object_struck_of_discharge
21681,SEMI-AUTO PISTOL,OBJECT
21968,SEMI-AUTO PISTOL,OBJECT
22096,SEMI-AUTO PISTOL,PERSON
22225,SEMI-AUTO PISTOL,UNKNOWN
22363,SEMI-AUTO PISTOL,PERSON
22380,SEMI-AUTO PISTOL,UNKNOWN
22437,SEMI-AUTO PISTOL,UNKNOWN
22438,SEMI-AUTO PISTOL,UNKNOWN
22440,SEMI-AUTO PISTOL,UNKNOWN
22442,SEMI-AUTO PISTOL,UNKNOWN
22467,SEMI-AUTO PISTOL,PERSON
22749,SEMI-AUTO PISTOL,OBJECT
22855,SEMI-AUTO PISTOL,OBJECT
22894,SEMI-AUTO PISTOL,BOTH
22895,SEMI-AUTO PISTOL,BOTH
22899,SEMI-AUTO PISTOL,BOTH
22901,SEMI-AUTO PISTOL,OBJECT
23066,SEMI-AUTO PISTOL,PERSON
23098,SEMI-AUTO PISTOL,PERSON
23099,SEMI-AUTO PISTOL,PERSON
23164,SEMI-AUTO PISTOL,PERSON
23165,SEMI-AUTO PISTOL,PERSON
23349,SEMI-AUTO PISTOL,UNKNOWN
23401,SEMI-AUTO PISTOL,OBJECT
23547,SEMI-AUTO PISTOL,PERSON
23640,SEMI-AUTO PISTOL,PERSON
23642,SEMI-AUTO PISTOL,PERSON
23742,SEMI-AUTO PISTOL,PERSON
23970,SEMI-AUTO PISTOL,PERSON
23983,SEMI-AUTO PISTOL,PERSON
23984,SEMI-AUTO PISTOL,PERSON
23986,SEMI-AUTO PISTOL,PERSON
23988,SEMI-AUTO PISTOL,PERSON
23992,SEMI-AUTO PISTOL,UNKNOWN
24067,SEMI-AUTO PISTOL,UNKNOWN
24105,SEMI-AUTO PISTOL,UNKNOWN
24354,SEMI-AUTO PISTOL,OBJECT
24355,SEMI-AUTO PISTOL,OBJECT
24408,SEMI-AUTO PISTOL,PERSON
24647,SEMI-AUTO PISTOL,UNKNOWN
24708,SEMI-AUTO PISTOL,PERSON
24711,SEMI-AUTO PISTOL,OBJECT
24712,SHOTGUN,OBJECT
24764,SEMI-AUTO PISTOL,OBJECT
25081,SEMI-AUTO PISTOL,UNKNOWN
25084,SEMI-AUTO PISTOL,UNKNOWN
25250,REVOLVER,PERSON
25265,SEMI-AUTO PISTOL,PERSON
25381,SEMI-AUTO PISTOL,UNKNOWN
25396,SEMI-AUTO PISTOL,BOTH
25397,SEMI-AUTO PISTOL,PERSON
25476,SEMI-AUTO PISTOL,UNKNOWN
25493,SEMI-AUTO PISTOL,OBJECT
26140,SHOTGUN,OBJECT
26682,SEMI-AUTO PISTOL,PERSON
26684,SEMI-AUTO PISTOL,UNKNOWN
26687,SEMI-AUTO PISTOL,UNKNOWN
26993,SEMI-AUTO PISTOL,OBJECT
28436,SEMI-AUTO PISTOL,OBJECT
28457,SEMI-AUTO PISTOL,PERSON
28526,SEMI-AUTO PISTOL,PERSON
28561,SEMI-AUTO PISTOL,OBJECT
28575,SEMI-AUTO PISTOL,OBJECT
29172,RIFLE,PERSON
29174,RIFLE,PERSON
29176,RIFLE,PERSON
29860,SEMI-AUTO PISTOL,OBJECT
29882,SEMI-AUTO PISTOL,OBJECT
30193,SEMI-AUTO PISTOL,UNKNOWN
30194,SEMI-AUTO PISTOL,UNKNOWN
30196,SEMI-AUTO PISTOL,UNKNOWN
30269,SEMI-AUTO PISTOL,PERSON
30298,SEMI-AUTO PISTOL,OBJECT
30372,SEMI-AUTO PISTOL,PERSON
30714,SEMI-AUTO PISTOL,OBJECT
30766,SEMI-AUTO PISTOL,PERSON
30767,SEMI-AUTO PISTOL,UNKNOWN
30879,SEMI-AUTO PISTOL,OBJECT
30917,SEMI-AUTO PISTOL,OBJECT
30921,REVOLVER,OBJECT
31183,SEMI-AUTO PISTOL,UNKNOWN
31411,SEMI-AUTO PISTOL,PERSON
31436,SEMI-AUTO PISTOL,OBJECT
31466,SEMI-AUTO PISTOL,OBJECT
31467,SEMI-AUTO PISTOL,OBJECT
31468,SEMI-AUTO PISTOL,UNKNOWN
31469,SEMI-AUTO PISTOL,UNKNOWN
31546,SEMI-AUTO PISTOL,PERSON
32000,SEMI-AUTO PISTOL,OBJECT
32235,SEMI-AUTO PISTOL,OBJECT
32237,SEMI-AUTO PISTOL,UNKNOWN
32240,SEMI-AUTO PISTOL,UNKNOWN
32242,SEMI-AUTO PISTOL,PERSON
32248,SEMI-AUTO PISTOL,PERSON
32249,SEMI-AUTO PISTOL,PERSON
32281,SEMI-AUTO PISTOL,PERSON
32319,SEMI-AUTO PISTOL,UNKNOWN
32322,SEMI-AUTO PISTOL,PERSON
32436,SEMI-AUTO PISTOL,UNKNOWN
32437,SEMI-AUTO PISTOL,UNKNOWN
32438,SEMI-AUTO PISTOL,UNKNOWN
32453,SEMI-AUTO PISTOL,PERSON
32456,SEMI-AUTO PISTOL,PERSON
32458,SEMI-AUTO PISTOL,PERSON
32494,SEMI-AUTO PISTOL,PERSON
32816,SEMI-AUTO PISTOL,PERSON
32882,SEMI-AUTO PISTOL,PERSON
32966,SEMI-AUTO PISTOL,UNKNOWN
33221,SEMI-AUTO PISTOL,PERSON
33462,SEMI-AUTO PISTOL,UNKNOWN
33727,SEMI-AUTO PISTOL,UNKNOWN
33730,SEMI-AUTO PISTOL,PERSON
33732,SEMI-AUTO PISTOL,UNKNOWN
33733,RIFLE,UNKNOWN
33735,SEMI-AUTO PISTOL,UNKNOWN
33737,SEMI-AUTO PISTOL,UNKNOWN
33738,SEMI-AUTO PISTOL,UNKNOWN
33740,RIFLE,BOTH
33742,SEMI-AUTO PISTOL,PERSON
33743,RIFLE,BOTH
33932,SEMI-AUTO PISTOL,UNKNOWN
34051,SEMI-AUTO PISTOL,PERSON
34908,SEMI-AUTO PISTOL,PERSON
34943,SEMI-AUTO PISTOL,OBJECT
35134,SEMI-AUTO PISTOL,UNKNOWN
35152,SEMI-AUTO PISTOL,PERSON
35185,SEMI-AUTO PISTOL,PERSON
35316,SEMI-AUTO PISTOL,OBJECT
35366,SEMI-AUTO PISTOL,OBJECT
35367,SEMI-AUTO PISTOL,OBJECT
35493,SEMI-AUTO PISTOL,UNKNOWN
35664,SEMI-AUTO PISTOL,PERSON
35697,SEMI-AUTO PISTOL,UNKNOWN
35768,REVOLVER,BOTH
35924,SEMI-AUTO PISTOL,PERSON
36241,SEMI-AUTO PISTOL,PERSON
36242,SEMI-AUTO PISTOL,BOTH
36243,SEMI-AUTO PISTOL,BOTH
36248,SEMI-AUTO PISTOL,PERSON
36249,SEMI-AUTO PISTOL,PERSON
36570,REVOLVER,UNKNOWN
36652,SEMI-AUTO PISTOL,PERSON
36657,SEMI-AUTO PISTOL,PERSON
36899,SEMI-AUTO PISTOL,PERSON
37016,SEMI-AUTO PISTOL,PERSON
37155,SEMI-AUTO PISTOL,PERSON
37202,SEMI-AUTO PISTOL,BOTH
37301,SEMI-AUTO PISTOL,UNKNOWN
37418,SEMI-AUTO PISTOL,OBJECT
37468,SEMI-AUTO PISTOL,PERSON
37504,SEMI-AUTO PISTOL,OBJECT
37633,SEMI-AUTO PISTOL,OBJECT
37832,SEMI-AUTO PISTOL,PERSON
37974,SEMI-AUTO PISTOL,OBJECT
38002,SEMI-AUTO PISTOL,UNKNOWN
38172,SEMI-AUTO PISTOL,UNKNOWN
38190,REVOLVER,PERSON
38486,SEMI-AUTO PISTOL,PERSON
38588,SEMI-AUTO PISTOL,OBJECT
38799,SHOTGUN,OBJECT
38953,SEMI-AUTO PISTOL,OBJECT
38982,SEMI-AUTO PISTOL,PERSON
38983,SEMI-AUTO PISTOL,PERSON
38984,SEMI-AUTO PISTOL,PERSON
39092,SEMI-AUTO PISTOL,PERSON
39144,SEMI-AUTO PISTOL,PERSON
39358,SEMI-AUTO PISTOL,OBJECT
39365,SEMI-AUTO PISTOL,OBJECT
39366,SEMI-AUTO PISTOL,OBJECT
39432,SEMI-AUTO PISTOL,OBJECT
39646,SEMI-AUTO PISTOL,OBJECT
39836,SEMI-AUTO PISTOL,OBJECT
40242,SEMI-AUTO PISTOL,OBJECT
40559,SEMI-AUTO PISTOL,PERSON
40579,SEMI-AUTO PISTOL,PERSON
40582,SEMI-AUTO PISTOL,PERSON
40659,SEMI-AUTO PISTOL,PERSON
40737,SEMI-AUTO PISTOL,PERSON
40770,REVOLVER,OBJECT
40847,SEMI-AUTO PISTOL,UNKNOWN
40855,SEMI-AUTO PISTOL,PERSON
40860,REVOLVER,UNKNOWN
40991,SEMI-AUTO PISTOL,OBJECT
41063,SEMI-AUTO PISTOL,PERSON
41205,SEMI-AUTO PISTOL,PERSON
41399,SEMI-AUTO PISTOL,PERSON
41402,SEMI-AUTO PISTOL,UNKNOWN
41489,SEMI-AUTO PISTOL,OBJECT
41593,SEMI-AUTO PISTOL,PERSON
41673,SEMI-AUTO PISTOL,PERSON
41702,SEMI-AUTO PISTOL,BOTH
41816,SEMI-AUTO PISTOL,UNKNOWN
41821,SEMI-AUTO PISTOL,UNKNOWN
42195,SEMI-AUTO PISTOL,PERSON
42341,SEMI-AUTO PISTOL,PERSON
42390,SEMI-AUTO PISTOL,OBJECT
42438,SEMI-AUTO PISTOL,UNKNOWN
42443,SEMI-AUTO PISTOL,OBJECT
42445,SEMI-AUTO PISTOL,OBJECT
42661,SEMI-AUTO PISTOL,PERSON
42680,SEMI-AUTO PISTOL,OBJECT
42681,SEMI-AUTO PISTOL,OBJECT
42683,SEMI-AUTO PISTOL,OBJECT
42712,SEMI-AUTO PISTOL,UNKNOWN
42738,SEMI-AUTO PISTOL,PERSON
42761,SEMI-AUTO PISTOL,PERSON
42763,SEMI-AUTO PISTOL,PERSON
42769,SEMI-AUTO PISTOL,PERSON
42781,SEMI-AUTO PISTOL,OBJECT
43099,SEMI-AUTO PISTOL,OBJECT
43135,SEMI-AUTO PISTOL,BOTH
43221,SEMI-AUTO PISTOL,OBJECT
43438,SEMI-AUTO PISTOL,UNKNOWN
43439,SEMI-AUTO PISTOL,UNKNOWN
43662,SEMI-AUTO PISTOL,UNKNOWN
43754,SEMI-AUTO PISTOL,OBJECT
43757,SEMI-AUTO PISTOL,OBJECT
43805,SEMI-AUTO PISTOL,UNKNOWN
44055,SEMI-AUTO PISTOL,PERSON
44078,SEMI-AUTO PISTOL,PERSON
44079,SEMI-AUTO PISTOL,PERSON
44333,SEMI-AUTO PISTOL,UNKNOWN
44915,RIFLE,PERSON
45067,SEMI-AUTO PISTOL,OBJECT
45069,SEMI-AUTO PISTOL,PERSON
45071,SEMI-AUTO PISTOL,PERSON
45145,SEMI-AUTO PISTOL,PERSON
45147,SEMI-AUTO PISTOL,PERSON
45305,SEMI-AUTO PISTOL,UNKNOWN
45307,SEMI-AUTO PISTOL,UNKNOWN
45367,SEMI-AUTO PISTOL,OBJECT
45415,SEMI-AUTO PISTOL,PERSON
45435,SEMI-AUTO PISTOL,OBJECT
45437,SEMI-AUTO PISTOL,OBJECT
45616,SEMI-AUTO PISTOL,BOTH
45618,SEMI-AUTO PISTOL,PERSON
45827,SEMI-AUTO PISTOL,OBJECT
45974,SEMI-AUTO PISTOL,OBJECT
46113,SEMI-AUTO PISTOL,OBJECT
46242,SEMI-AUTO PISTOL,UNKNOWN
46263,SEMI-AUTO PISTOL,OBJECT
46264,SEMI-AUTO PISTOL,OBJECT
46343,SEMI-AUTO PISTOL,OBJECT
46491,SEMI-AUTO PISTOL,UNKNOWN
46894,SEMI-AUTO PISTOL,OBJECT
46897,SEMI-AUTO PISTOL,OBJECT
46907,SEMI-AUTO PISTOL,BOTH
46908,SEMI-AUTO PISTOL,PERSON
46934,SEMI-AUTO PISTOL,OBJECT
47069,SEMI-AUTO PISTOL,BOTH
47071,SEMI-AUTO PISTOL,BOTH
47073,SEMI-AUTO PISTOL,OBJECT
47074,SEMI-AUTO PISTOL,PERSON
47076,SEMI-AUTO PISTOL,PERSON
47131,SEMI-AUTO PISTOL,OBJECT
47183,SEMI-AUTO PISTOL,OBJECT
47255,SEMI-AUTO PISTOL,UNKNOWN
47415,SEMI-AUTO PISTOL,PERSON
47463,SEMI-AUTO PISTOL,PERSON
47465,SEMI-AUTO PISTOL,PERSON
47496,SEMI-AUTO PISTOL,PERSON
47499,SEMI-AUTO PISTOL,PERSON
47500,SEMI-AUTO PISTOL,PERSON
47508,SEMI-AUTO PISTOL,PERSON
47512,SEMI-AUTO PISTOL,PERSON
47513,SEMI-AUTO PISTOL,PERSON
47522,SEMI-AUTO PISTOL,PERSON
47523,SEMI-AUTO PISTOL,PERSON
47524,SEMI-AUTO PISTOL,PERSON
47525,SEMI-AUTO PISTOL,OBJECT
47530,SEMI-AUTO PISTOL,PERSON
47580,SEMI-AUTO PISTOL,OBJECT
47585,SEMI-AUTO PISTOL,OBJECT
47613,SEMI-AUTO PISTOL,PERSON
47762,SEMI-AUTO PISTOL,PERSON
47765,SEMI-AUTO PISTOL,UNKNOWN
47868,SEMI-AUTO PISTOL,PERSON
48030,SEMI-AUTO PISTOL,UNKNOWN
48048,SEMI-AUTO PISTOL,OBJECT
48068,SEMI-AUTO PISTOL,OBJECT
48070,SEMI-AUTO PISTOL,BOTH
48083,SHOTGUN,OBJECT
48156,SEMI-AUTO PISTOL,PERSON
48230,SEMI-AUTO PISTOL,PERSON
48248,SEMI-AUTO PISTOL,OBJECT
48252,SEMI-AUTO PISTOL,PERSON
48344,RIFLE,OBJECT
48588,SEMI-AUTO PISTOL,OBJECT
48636,SEMI-AUTO PISTOL,PERSON
48679,SEMI-AUTO PISTOL,UNKNOWN
48700,SEMI-AUTO PISTOL,PERSON
48855,SHOTGUN,OBJECT
49546,SEMI-AUTO PISTOL,PERSON
49564,SEMI-AUTO PISTOL,UNKNOWN
49606,SEMI-AUTO PISTOL,BOTH
49612,SEMI-AUTO PISTOL,BOTH
49640,SEMI-AUTO PISTOL,OBJECT
49684,SEMI-AUTO PISTOL,BOTH
49768,SEMI-AUTO PISTOL,PERSON
49832,SEMI-AUTO PISTOL,PERSON
49832,SEMI-AUTO PISTOL,PERSON
49878,SEMI-AUTO PISTOL,PERSON
49890,SEMI-AUTO PISTOL,PERSON
49894,SEMI-AUTO PISTOL,PERSON
49895,SEMI-AUTO PISTOL,PERSON
49896,SEMI-AUTO PISTOL,PERSON
50272,SEMI-AUTO PISTOL,UNKNOWN
50374,SEMI-AUTO PISTOL,OBJECT
50402,SEMI-AUTO PISTOL,UNKNOWN
50516,SEMI-AUTO PISTOL,UNKNOWN
50623,SEMI-AUTO PISTOL,OBJECT
50674,SEMI-AUTO PISTOL,OBJECT
50900,SEMI-AUTO PISTOL,PERSON
51171,SEMI-AUTO PISTOL,PERSON
51317,SEMI-AUTO PISTOL,OBJECT
51361,SEMI-AUTO PISTOL,PERSON
51603,SEMI-AUTO PISTOL,PERSON
51639,SEMI-AUTO PISTOL,PERSON
51976,SEMI-AUTO PISTOL,PERSON
52645,SEMI-AUTO PISTOL,PERSON
52721,SEMI-AUTO PISTOL,UNKNOWN
52725,SEMI-AUTO PISTOL,PERSON
52749,SEMI-AUTO PISTOL,PERSON
52817,SEMI-AUTO PISTOL,UNKNOWN
52962,SEMI-AUTO PISTOL,OBJECT
53064,SEMI-AUTO PISTOL,UNKNOWN
53443,SEMI-AUTO PISTOL,OBJECT
53471,SEMI-AUTO PISTOL,PERSON
53499,SEMI-AUTO PISTOL,PERSON
53501,SEMI-AUTO PISTOL,PERSON
53503,SEMI-AUTO PISTOL,PERSON
53505,SEMI-AUTO PISTOL,PERSON
53513,SEMI-AUTO PISTOL,OBJECT
53515,SEMI-AUTO PISTOL,UNKNOWN
53823,SEMI-AUTO PISTOL,UNKNOWN
53832,SEMI-AUTO PISTOL,BOTH
53849,SEMI-AUTO PISTOL,UNKNOWN
53850,SEMI-AUTO PISTOL,UNKNOWN
53964,SEMI-AUTO PISTOL,PERSON
54041,SEMI-AUTO PISTOL,PERSON
54042,SEMI-AUTO PISTOL,UNKNOWN
54043,SEMI-AUTO PISTOL,PERSON
54044,SEMI-AUTO PISTOL,PERSON
54045,SEMI-AUTO PISTOL,UNKNOWN
54047,SEMI-AUTO PISTOL,UNKNOWN
54048,SEMI-AUTO PISTOL,UNKNOWN
54127,SHOTGUN,OBJECT
54398,REVOLVER,OBJECT
54399,REVOLVER,OBJECT
54441,SEMI-AUTO PISTOL,OBJECT
54443,SEMI-AUTO PISTOL,OBJECT
54594,SEMI-AUTO PISTOL,OBJECT
54649,SEMI-AUTO PISTOL,UNKNOWN
54789,SEMI-AUTO PISTOL,PERSON
54790,SEMI-AUTO PISTOL,PERSON
55137,SEMI-AUTO PISTOL,UNKNOWN
