"","CRID","Race","Gender","Victim"
"574","1004083","Black","Male","Black Male"
"575","1004088","Black","Male","Black Male"
"576","1004090","Black","Male","Black Male"
"577","1004102","Black","Male","Black Male"
"578","1004112","Black","Male","Black Male"
"579","1004129","Black","Male","Black Male"
"580","1004131","Black","Male","Black Male"
"581","1004138","Black","Male","Black Male"
"582","1004142","Black","Male","Black Male"
"583","1004147","Black","Male","Black Male"
"584","1004162","Black","Male","Black Male"
"585","1004163","Black","Male","Black Male"
"586","1004175","Black","Male","Black Male"
"587","1004180","Black","Male","Black Male"
"588","1004184","Black","Male","Black Male"
"589","1004185","Black","Male","Black Male"
"590","1004188","Black","Male","Black Male"
"591","1004203","Black","Male","Black Male"
"592","1004207","Black","Male","Black Male"
"593","1004209","Black","Male","Black Male"
"594","1004211","Black","Male","Black Male"
"595","1004227","Black","Male","Black Male"
"596","1004233","Black","Male","Black Male"
"597","1004237","Black","Male","Black Male"
"598","1004257","Black","Male","Black Male"
"599","1004270","Black","Male","Black Male"
"600","1004281","Black","Male","Black Male"
"601","1004292","Black","Male","Black Male"
"602","1004300","Black","Male","Black Male"
"603","1004307","Black","Male","Black Male"
"604","1004319","Black","Male","Black Male"
"605","1004331","Black","Male","Black Male"
"606","1004337","Black","Male","Black Male"
"607","1004340","Black","Male","Black Male"
"608","1004355","Black","Male","Black Male"
"609","1004364","Black","Male","Black Male"
"610","1004375","Black","Male","Black Male"
"611","1004376","Black","Male","Black Male"
"612","1004381","Black","Male","Black Male"
"613","1004386","Black","Male","Black Male"
"614","1004398","Black","Male","Black Male"
"615","1004404","Black","Male","Black Male"
"616","1004405","Black","Male","Black Male"
"617","1004408","Black","Male","Black Male"
"618","1004416","Black","Male","Black Male"
"619","1004433","Black","Male","Black Male"
"620","1004434","Black","Male","Black Male"
"621","1004443","Black","Male","Black Male"
"622","1004450","Black","Male","Black Male"
"623","1004460","Black","Male","Black Male"
"624","1004467","Black","Male","Black Male"
"625","1004478","Black","Male","Black Male"
"626","1004492","Black","Male","Black Male"
"627","1004493","Black","Male","Black Male"
"628","1004511","Black","Male","Black Male"
"629","1004519","Black","Male","Black Male"
"630","1004536","Black","Male","Black Male"
"631","1004543","Black","Male","Black Male"
"632","1004555","Black","Male","Black Male"
"633","1004564","Black","Male","Black Male"
"634","1004566","Black","Male","Black Male"
"635","1004567","Black","Male","Black Male"
"636","1004578","Black","Male","Black Male"
"637","1004581","Black","Male","Black Male"
"638","1004587","Black","Male","Black Male"
"639","1004594","Black","Male","Black Male"
"640","1004610","Black","Male","Black Male"
"641","1004615","Black","Male","Black Male"
"642","1004621","Black","Male","Black Male"
"643","1004643","Black","Male","Black Male"
"644","1004660","Black","Male","Black Male"
"645","1004666","Black","Male","Black Male"
"646","1004667","Black","Male","Black Male"
"647","1004668","Black","Male","Black Male"
"648","1004669","Black","Male","Black Male"
"649","1004672","Black","Male","Black Male"
"650","1004680","Black","Male","Black Male"
"651","1004689","Black","Male","Black Male"
"652","1004693","Black","Male","Black Male"
"653","1004699","Black","Male","Black Male"
"654","1004701","Black","Male","Black Male"
"655","1004718","Black","Male","Black Male"
"656","1004723","Black","Male","Black Male"
"657","1004736","Black","Male","Black Male"
"658","1004739","Black","Male","Black Male"
"659","1004742","Black","Male","Black Male"
"660","1004743","Black","Male","Black Male"
"661","1004744","Black","Male","Black Male"
"662","1004750","Black","Male","Black Male"
"663","1004767","Black","Male","Black Male"
"664","1004776","Black","Male","Black Male"
"665","1004777","Black","Male","Black Male"
"666","1004781","Black","Male","Black Male"
"667","1004785","Black","Male","Black Male"
"668","1004797","Black","Male","Black Male"
"669","1004814","Black","Male","Black Male"
"670","1004818","Black","Male","Black Male"
"671","1004825","Black","Male","Black Male"
"672","1004829","Black","Male","Black Male"
"673","1004831","Black","Male","Black Male"
"674","1004843","Black","Male","Black Male"
"675","1004845","Black","Male","Black Male"
"676","1004857","Black","Male","Black Male"
"677","1004858","Black","Male","Black Male"
"678","1004860","Black","Male","Black Male"
"679","1004863","Black","Male","Black Male"
"680","1004864","Black","Male","Black Male"
"681","1004867","Black","Male","Black Male"
"682","1004873","Black","Male","Black Male"
"683","1004877","Black","Male","Black Male"
"684","1004893","Black","Male","Black Male"
"685","1004905","Black","Male","Black Male"
"686","1004911","Black","Male","Black Male"
"687","1004913","Black","Male","Black Male"
"688","1004916","Black","Male","Black Male"
"689","1004926","Black","Male","Black Male"
"690","1004927","Black","Male","Black Male"
"691","1004930","Black","Male","Black Male"
"692","1004935","Black","Male","Black Male"
"693","1004953","Black","Male","Black Male"
"694","1004963","Black","Male","Black Male"
"695","1004970","Black","Male","Black Male"
"696","1004989","Black","Male","Black Male"
"697","1004999","Black","Male","Black Male"
"698","1005000","Black","Male","Black Male"
"699","1005001","Black","Male","Black Male"
"700","1005014","Black","Male","Black Male"
"701","1005018","Black","Male","Black Male"
"702","1005020","Black","Male","Black Male"
"703","1005021","Black","Male","Black Male"
"704","1005023","Black","Male","Black Male"
"705","1005032","Black","Male","Black Male"
"706","1005033","Black","Male","Black Male"
"707","1005034","Black","Male","Black Male"
"708","1005041","Black","Male","Black Male"
"709","1005044","Black","Male","Black Male"
"710","1005048","Black","Male","Black Male"
"711","1005054","Black","Male","Black Male"
"712","1005055","Black","Male","Black Male"
"713","1005070","Black","Male","Black Male"
"714","1005074","Black","Male","Black Male"
"715","1005082","Black","Male","Black Male"
"716","1005089","Black","Male","Black Male"
"717","1005092","Black","Male","Black Male"
"718","1005097","Black","Male","Black Male"
"719","1005102","Black","Male","Black Male"
"720","1005104","Black","Male","Black Male"
"721","1005105","Black","Male","Black Male"
"722","1005109","Black","Male","Black Male"
"723","1005118","Black","Male","Black Male"
"724","1005138","Black","Male","Black Male"
"725","1005139","Black","Male","Black Male"
"726","1005141","Black","Male","Black Male"
"727","1005143","Black","Male","Black Male"
"728","1005146","Black","Male","Black Male"
"729","1005151","Black","Male","Black Male"
"730","1005155","Black","Male","Black Male"
"731","1005179","Black","Male","Black Male"
"732","1005195","Black","Male","Black Male"
"733","1005197","Black","Male","Black Male"
